X,Y,OBJECTID,COMPANY,FACILITY,PERMIT_TYPE,VOC_TONS_YEAR,METHANE_75_VOC,LAT,LON,SHAPE
-103.509046148401,32.787554438362,21,Chevron USA Inc,Chevron USA - Buckeye CO2 Plant,3,36.8,27.6,32.787549,-103.509037,
-103.537616113731,32.1334783258834,22,EOG Resources Inc - Midland Division,"EOG - Pitchfork Ranch Delivery Point, GCP1-2472 ",2,29.8,22.35,32.133473,-103.537607,
-103.495398118007,32.3595613663791,23,Devon Energy Production Company LP,Gaucho Unit No2Y,6,27.6,20.7,32.359556,-103.495389,
-103.4310881122,32.5023053935928,24,Devon Energy Production Company LP,Outland State Unit No4 Production Facility,6,26.2,19.65,32.5023,-103.431079,
-103.200978073139,32.7210194413154,25,Occidental Permian Limited,Occidental - North Hobbs Unit RCF and WIB,3,82.4,61.8,32.721014,-103.200969,
-104.301565296446,32.2733383155161,26,Devon Energy Production Company LP,Frontier Hill 28 State No1,6,30.2,22.65,32.273333,-104.301556,
-103.885426306673,33.8400335952475,28,OXY USA WTP Limited Partnership,Oxy Pistachio - RSG Federal No1,6,24.68,18.51,33.840028,-103.885417,
-103.41725107833,32.0052553091814,29,Chevron Midcontinent LP,Madera 36 State No 1,6,22.692,17.019,32.00525,-103.417242,
-103.757565182268,32.4265883659362,30,EOG Resources Inc - Artesia Division,Lucy State Tank Battery,6,15.32,11.49,32.426583,-103.757556,
-103.755703181274,32.4175613644917,31,EOG Resources Inc - Artesia Division,Flora State Tank Battery,6,15.5,11.625,32.417556,-103.755694,
-103.948259208745,32.152733310952,32,"Vanguard Operating, LLC",Vanguard - Karlsbad Corral Section 2 Facility,2,15.26,11.445,32.152728,-103.94825,
-103.948259208745,32.152733310952,33,Lime Rock Resources,Vanguard - Karlsbad Corral Section 2 Facility,2,15.26,11.445,32.152728,-103.94825,
-103.729953200567,32.8105614319758,34,ConocoPhillips,ConocoPhillips - MCA Battery No4 GCP4-3138,2,27.23,20.4225,32.810556,-103.729944,
-103.729953200567,32.8105614319758,35,ConocoPhillips - Midland Office,ConocoPhillips - MCA Battery No4 GCP4-3138,2,27.23,20.4225,32.810556,-103.729944,
-104.221120286648,32.4077833417392,36,Chevron Midcontinent LP,Douglas Com No1,6,14.9,11.175,32.407778,-104.221111,
-103.427481081774,32.0233943118522,37,Chevron Midcontinent LP,Madera 24 Fed No1,6,18.92,14.19,32.023389,-103.427472,
-103.833342218036,32.715505411205,38,"Arena Resources, Inc.",Laney A Tank Battery,6,42.69,32.0175,32.7155,-103.833333,
-103.401723076013,32.025958313422,39,Chevron Midcontinent LP,Beckham 19 No1,6,35.7,26.775,32.025953,-103.401714,
-103.076953044356,32.7191724467032,40,"Arena Resources, Inc.",EHSAU Main Battery,6,23.4,17.55,32.719167,-103.076944,
-103.246231059882,32.3465613753419,41,"Arena Resources, Inc.",Seven Rivers Queen Unit Battery,6,32,24,32.346556,-103.246222,
-103.848081203057,32.4283493621325,42,ConocoPhillips,James A Com No1 Tank Battery,6,13.4,10.05,32.428344,-103.848072,
-103.451398104146,32.2991723580485,43,Devon Energy Production Company LP,Mad Dog 15 No1 Production Facility,6,32.2,24.15,32.299167,-103.451389,
-103.748953173592,32.3195053481686,44,Devon Energy Production Company LP,Cotton Draw No87 Production Facility,6,31.06,23.295,32.3195,-103.748944,
-103.974426223332,32.2921993334095,45,Devon Energy Production Company LP,Devon - Laguna Salado South Unit Fed #1 Battery ,6,24.86,18.645,32.292194,-103.974417,
-103.826251194763,32.3756993542134,46,Devon Energy Production Company LP,Apache 24 No3 Battery Production Facility,6,55.2,41.4,32.375694,-103.826242,
-104.252509318452,32.7916724044533,47,Lime Rock Resources,Lime Rock - Eagle 35 Sat Battery,6,18.6,13.95,32.791667,-104.2525,
-104.319176331956,32.7669493972292,48,Lime Rock Resources,Lime Rock  - Kaiser B Battery,6,15.8,11.85,32.766944,-104.319167,
-103.440120093214,32.1638113353934,49,Devon Energy Production Company LP,Devon - Todd 25 BC Fed 3,6,33.3,24.975,32.163806,-103.440111,
-103.353342064083,32.012505313226,50,Devon Energy Production Company LP,Devon Energy Production - Arena Roja Fed No1,6,32.7,24.525,32.0125,-103.353333,
-104.342231336165,32.7513943935681,51,Lime Rock Resources,Lime Rock - Atoka San Andreas Unit Battery,6,19.6,14.7,32.751389,-104.342222,
-103.78917618408,32.3402833498846,52,Devon Energy Production Company LP,Devon Energy - North Pure Gold 4 Federal No3,6,37.9,28.425,32.340278,-103.789167,
-103.826120193542,32.3566723509973,53,Devon Energy Production Company LP,Devon Energy - Apache 25 Federal No 6 Battery,6,87.3,65.475,32.356667,-103.826111,
-103.905776232188,32.6785554016492,54,Devon Energy Production Company LP,Devon - Strawberry 7 Fed No2 Battery,6,84.1,63.075,32.67855,-103.905767,
-103.656676180256,32.7563944262646,55,Devon Energy Production Company LP,Devon Energy - Cockburn Federal No2,6,42.1,31.575,32.756389,-103.656667,
-103.225870064871,32.5011584027045,56,ConocoPhillips - Midland Office,ConocoPhillips Company - State F-1 Battery,6,32.3,24.225,32.501153,-103.225861,
-103.370009068132,32.0161163131181,57,Devon Energy Production Company LP,Devon Energy - Arena Roja Federal No6,6,42.3,31.725,32.016111,-103.37,
-104.062620250824,32.4106163494109,58,XTO Energy Inc,XTO Energy - Big Eddy Facility Station No156,3,27.26,20.445,32.410611,-104.062611,
-104.020842276468,32.9541724423756,59,Chevron USA Inc,Chevron - Jumping Spring 16 State 1H,6,98.2,73.65,32.954167,-104.020833,
-104.020842276468,32.9541724423756,60,Cimarex Energy Co of Colorado,Chevron - Jumping Spring 16 State 1H,6,98.2,73.65,32.954167,-104.020833,
-103.43712011439,32.5150053954791,61,Apache Corporation,Apache - Prairie Fire State No 1 Battery,6,63,47.25,32.515,-103.437111,
-104.04345325949,32.6152553846775,62,St Mary Land and Exploration Company,Colgate Energy - Parkway Delaware Unit Tract 1 TB,6,74,55.5,32.61525,-104.043444,
-104.04345325949,32.6152553846775,63,Colgate Energy,Colgate Energy - Parkway Delaware Unit Tract 1 TB,6,74,55.5,32.61525,-104.043444,
-103.738065162396,32.178838324737,64,Devon Energy Production Company LP,Devon Energy - Cotton Draw Unit No 90,6,71.1,53.325,32.178833,-103.738056,
-103.821898216602,32.7337274147966,65,St Mary Land and Exploration Company,Colgate Energy - Geronimo Federal Tank Battery,6,80,60,32.733722,-103.821889,
-103.821898216602,32.7337274147966,66,Colgate Energy,Colgate Energy - Geronimo Federal Tank Battery,6,80,60,32.733722,-103.821889,
-103.936953215698,32.3066723375424,67,OXY USA Inc ,OXY USA Inc - Cypress 34 Federal No1,6,28.4,21.3,32.306667,-103.936944,
-103.784509179932,32.2908383417059,68,OXY USA WTP Limited Partnership,Oxy USA Inc - Puregold A Federal 8,6,21.5,16.125,32.290833,-103.7845,
-103.192703048866,32.3678943813973,69,"Breitburn Energy Partners, LP",Breitburn - M State No1,6,37.9,28.425,32.367889,-103.192694,
-103.192703048866,32.3678943813973,70,Encore Operating LP,Breitburn - M State No1,6,37.9,28.425,32.367889,-103.192694,
-103.81042618254,32.2374493314798,71,OXY USA Inc ,Oxy USA Palladium 7 Federal No1 battery,6,20.891,15.66825,32.237444,-103.810417,
-103.799731183064,32.2852833400803,72,OXY USA Inc ,Oxy - Pure Gold B Tank Battery,6,13.6,10.2,32.285278,-103.799722,
-103.169509038878,32.2931723696141,73,OXY USA Inc ,OXY - CE Lamunyon No2 Tank Battery,6,33.5,25.125,32.293167,-103.1695,
-103.964676216631,32.2200053216267,74,OXY USA Inc ,Oxy USA - Harroun 15 No3 and No5 Batteries,6,30.1,22.575,32.22,-103.964667,
-103.831578187838,32.2450363318225,75,Devon Energy Production Company LP,Devon Energy - Blackjack 1 Federal No 2,6,39.2,29.4,32.245031,-103.831569,
-103.799731178539,32.2122273276716,76,OXY USA Inc ,Oxy USA Inc - Patton 17 FED No1 Tank Battery,6,18.8,14.1,32.212222,-103.799722,
-103.7672031842,32.4222833647708,77,OXY USA Inc ,OXY USA - Lost Tank 3 Federal No5,6,27.6,20.7,32.422278,-103.767194,
-103.212009084616,32.8588054642029,78,Armstrong Energy Corporation,Armstrong - Berry 1-1,6,39,29.25,32.8588,-103.212,
-103.212009084616,32.8588054642029,79,Chevron USA Inc,Armstrong - Berry 1-1,6,39,29.25,32.8588,-103.212,
-103.212009084616,32.8588054642029,80,Chesapeake Operating Inc,Armstrong - Berry 1-1,6,39,29.25,32.8588,-103.212,
-103.8060921835,32.2689223370181,81,OXY USA Inc ,Oxy USA - Federal 29 No8,6,23.5,17.625,32.268917,-103.806083,
-104.067009236659,32.1673053081355,82,Chevron USA Inc,Chevron - Mosaic 34 Federal 2H,6,14.4,10.8,32.1673,-104.067,
-104.067009236659,32.1673053081355,83,Chesapeake Operating Inc,Chevron - Mosaic 34 Federal 2H,6,14.4,10.8,32.1673,-104.067,
-103.742509175367,32.3715053572819,84,OXY USA Inc ,OXY USA Inc - Federal 23 Tank Battery,6,60.5,45.375,32.3715,-103.7425,
-103.519162130074,32.4649613832473,85,EOG Resources Inc - Midland Division,EOG - Nervosa 24 State Com No 601H,2,42.7,32.025,32.464956,-103.519153,
-104.139009300973,32.9179054307732,86,Chevron USA Inc, Crow Flats 14 FED 3H,6,18.4,13.8,32.9179,-104.139,
-103.771870175313,32.2629493375361,87,OXY USA WTP Limited Partnership,Oxy USA Inc - Sterling Silver 34 Federal No2 Tank Battery,6,16.6,12.45,32.262944,-103.771861,
-103.357495065369,32.0179973139897,88,Devon Energy Production Company LP,Devon Energy - Arena Roja Federal NO5,5,27.8,20.85,32.017992,-103.357486,
-103.733731176371,32.4194773658107,89,OXY USA Inc ,Oxy USA Inc - Federal No1 Tank Battery,6,22.6,16.95,32.419472,-103.733722,
-103.558842149238,32.6232554082901,90,Cimarex Energy Co of Colorado,"Cimarex Energy Co - Chapparal 33 Federal 3, 4, 5 & 6",6,32.34,24.255,32.62325,-103.558833,
-103.918009196501,32.06520529742,91,Chevron USA Inc,Ross Ranch 6 Federal 1H Facility,6,45.7,34.275,32.0652,-103.918,
-103.895009194839,32.1238113084044,92,XTO Energy Inc,XTO - PLU Pierce Canyon 17 Tank Battery,2,32.5,24.375,32.123806,-103.895,
-103.895009194839,32.1238113084044,93,BOPCO L.P. - Midland Office,XTO - PLU Pierce Canyon 17 Tank Battery,2,32.5,24.375,32.123806,-103.895,
-103.772176185613,32.4266723652886,94,OXY USA Inc ,OXY USA Inc - Lost Tank 3 Federal No1,6,14.1,10.575,32.426667,-103.772167,
-103.895520197648,32.1676863158365,95,BOPCO L.P. - Midland Office, PLU Pierce Canyon 32 CPF,6,44.6,33.45,32.167681,-103.895511,
-103.895520197648,32.1676863158365,96,Chevron Midcontinent LP, PLU Pierce Canyon 32 CPF,6,44.6,33.45,32.167681,-103.895511,
-103.880009195012,32.1823053190097,97,BOPCO L.P. - Midland Office,PLU Pierce Canyon 28 CPF,6,44.7,33.525,32.1823,-103.88,
-103.880009195012,32.1823053190097,98,Chevron Midcontinent LP,PLU Pierce Canyon 28 CPF,6,44.7,33.525,32.1823,-103.88,
-103.781065177412,32.2629223371199,99,OXY USA WTP Limited Partnership,Oxy USA Inc - Sterling Silver 33 Federal No 3 CTB,6,20.6,15.45,32.262917,-103.781056,
-103.9018981982,32.1530053130593,100,EOG Resources Inc - Artesia Division,Yates Petroleum Corp - Doc BHU State No1 Facility,6,15.1,11.325,32.153,-103.901889,
-103.198759053961,32.4270883912642,101,"Vanguard Operating, LLC",Vanguard Operations - Downes Battery Unit B,6,31.2,23.4,32.427083,-103.19875,
-103.198759053961,32.4270883912642,102,Range Resources Corporation,Vanguard Operations - Downes Battery Unit B,6,31.2,23.4,32.427083,-103.19875,
-103.194509052766,32.4236723908709,103,"Vanguard Operating, LLC",Vanguard - Grizzell A Production Facility,6,14.9,11.175,32.423667,-103.1945,
-103.194509052766,32.4236723908709,104,Range Resources Corporation,Vanguard - Grizzell A Production Facility,6,14.9,11.175,32.423667,-103.1945,
-104.045926240304,32.3034223320905,105,"Vanguard Operating, LLC",Chevron USA Inc. - SCB No.5 B Tank Battery,6,25.8,19.35,32.303417,-104.045917,
-104.045926240304,32.3034223320905,106,"Rockcliff Enerfy, LLC",Chevron USA Inc. - SCB No.5 B Tank Battery,6,25.8,19.35,32.303417,-104.045917,
-104.045926240304,32.3034223320905,107,Chevron USA Inc,Chevron USA Inc. - SCB No.5 B Tank Battery,6,25.8,19.35,32.303417,-104.045917,
-104.045926240304,32.3034223320905,108,Range Resources Corporation,Chevron USA Inc. - SCB No.5 B Tank Battery,6,25.8,19.35,32.303417,-104.045917,
-103.190231053091,32.4446163946486,109,Range Resources Corporation,Vanguard Operating - H S Turner Oil and Gas Facility,6,14.9,11.175,32.444611,-103.190222,
-103.190231053091,32.4446163946486,110,"Vanguard Operating, LLC",Vanguard Operating - H S Turner Oil and Gas Facility,6,14.9,11.175,32.444611,-103.190222,
-103.171148043747,32.3655613819641,111,"Vanguard Operating, LLC",Vanguard Operating - Christmas 28 Oil and Gas Facility,6,14.2,10.65,32.365556,-103.171139,
-103.171148043747,32.3655613819641,112,Range Resources Corporation,Vanguard Operating - Christmas 28 Oil and Gas Facility,6,14.2,10.65,32.365556,-103.171139,
-104.061120242613,32.2850333283021,113,Range Resources Corporation,Chevron USA Inc. - SCB 23-14 Tank Battery,6,19.7,14.775,32.285028,-104.061111,
-104.061120242613,32.2850333283021,114,Chevron USA Inc,Chevron USA Inc. - SCB 23-14 Tank Battery,6,19.7,14.775,32.285028,-104.061111,
-104.061120242613,32.2850333283021,115,"Vanguard Operating, LLC",Chevron USA Inc. - SCB 23-14 Tank Battery,6,19.7,14.775,32.285028,-104.061111,
-104.061120242613,32.2850333283021,116,"Rockcliff Enerfy, LLC",Chevron USA Inc. - SCB 23-14 Tank Battery,6,19.7,14.775,32.285028,-104.061111,
-103.711509160388,32.2447273371371,117,Devon Energy Production Company LP,Devon Energy - Falcon 32 State No1 Battery,6,34.1,25.575,32.244722,-103.7115,
-103.37400910021,32.5203053992487,118,Chevron USA Inc, Cattleman 4 State No3,6,52.9,39.675,32.5203,-103.374,
-103.502120112358,32.2436993463066,119,Kaiser-Francis Oil Company,Kaiser Francis Oil Company - South Bell Lake 26,6,14.63,10.9725,32.243694,-103.502111,
-104.34384231672,32.4435053421415,120,Devon Energy Production Company LP,Devon Energy - Harrier 11 1H Battery,6,43.4,32.55,32.4435,-104.343833,
-103.786328206899,32.7094694123648,121,Devon Energy Production Company LP,Devon Energy - Hulkster No3 Battery,6,60.8,45.6,32.709464,-103.786319,
-103.911259233551,32.680288401687,122,Devon Energy Production Company LP,Devon Energy - Strawberry 7 Federal Com No1 Battery,6,58.8,44.1,32.680283,-103.91125,
-104.234592304088,32.6331993788679,123,Devon Energy Production Company LP,Devon Energy - Guardian 25 State 1 Battery,6,77.4,58.05,32.633194,-104.234583,
-104.265009321992,32.8024054056545,124,Chesapeake Operating Inc,Chesapeake Operating Inc - Hondo Federal Gas Com NO1,6,23.9,17.925,32.8024,-104.265,
-103.562873127966,32.2707663482148,125,Devon Energy Production Company LP,Devon - Thistle Unit No10,6,87.1,65.325,32.270761,-103.562864,
-103.992953217134,32.1236443040303,126,Devon Energy Production Company LP,Devon Energy - Cooter 16 State No1,6,44.4,33.3,32.123639,-103.992944,
-103.981676222722,32.255838326933,127,OXY USA WTP Limited Partnership,Oxy USA Inc - Cypress 33-1 Battery,6,58.8,44.1,32.255833,-103.981667,
-103.981676222722,32.255838326933,128,OXY USA Inc ,Oxy USA Inc - Cypress 33-1 Battery,6,58.8,44.1,32.255833,-103.981667,
-103.331009065406,32.1191163325464,129,Chevron USA Inc,Dinwiddie 23 Federal NO1,6,56,42,32.119111,-103.331,
-103.761398183155,32.4267553657909,130,OXY USA Inc ,Oxy USA - Lost Tank 4 Federal No1,6,58,43.5,32.42675,-103.761389,
-104.190578311121,32.8940554243818,131,Devon Energy Production Company LP,Devon - Dickens 29 Federal Battery,6,88,66,32.89405,-104.190569,
-103.988390216096,32.1236383042318,132,Devon Energy Production Company LP,Devon - Cooter 16 State No 5,6,85.9,64.425,32.123633,-103.988381,
-104.189584308869,32.8633414193216,133,Devon Energy Production Company LP,Devon - Mark Twain Federal Com Battery,6,88,66,32.863336,-104.189575,
-103.912848197959,32.1083583049868,134,Chevron Midcontinent LP,PLU Ross Ranch 19 CPF,6,93.1,69.825,32.108353,-103.912839,
-103.912848197959,32.1083583049868,135,BOPCO L.P. - Midland Office,PLU Ross Ranch 19 CPF,6,93.1,69.825,32.108353,-103.912839,
-103.832176176956,32.0655613012701,136,Chevron Midcontinent LP, PLU Phantom Banks 1 CPF,6,45.5,34.125,32.065556,-103.832167,
-103.832176176956,32.0655613012701,137,BOPCO L.P. - Midland Office, PLU Phantom Banks 1 CPF,6,45.5,34.125,32.065556,-103.832167,
-103.861059191551,32.1962803222275,138,Chevron Midcontinent LP, PLU Big Sinks 22 CPF,6,45.5,34.125,32.196275,-103.86105,
-103.861059191551,32.1962803222275,139,BOPCO L.P. - Midland Office, PLU Big Sinks 22 CPF,6,45.5,34.125,32.196275,-103.86105,
-107.580010383945,36.8700058492397,140,Devon Energy Production Company LP,BP - NEBU 418A/ 53A and others,6,119,89.25,36.87,-107.58,
-103.929778209014,32.2253743240964,141,Chevron Midcontinent LP, PLU Pierce Canyon 12 CPF,6,46.7,35.025,32.225369,-103.929769,
-103.929778209014,32.2253743240964,142,BOPCO L.P. - Midland Office, PLU Pierce Canyon 12 CPF,6,46.7,35.025,32.225369,-103.929769,
-103.966120219128,32.2550053274892,143,OXY USA Inc ,Oxy USA - Goodnight 27-1 Battery,6,15.9,11.925,32.255,-103.966111,
-103.766592224057,33.0394774686119,144,Chevron USA Inc, Nereid 1 Federal NO1H Facility,6,88.8,66.6,33.039472,-103.766583,
-103.816592235002,33.0320054649989,145,Chevron USA Inc,Chevron - Perseus 10 Federal Com No3H,6,26.7,20.025,33.032,-103.816583,
-103.295759110573,32.9598944774026,146,Armstrong Energy Corporation,Armstrong - Easley 1-6,6,51.2,38.4,32.959889,-103.29575,
-103.295759110573,32.9598944774026,147,Chevron USA Inc,Armstrong - Easley 1-6,6,51.2,38.4,32.959889,-103.29575,
-103.632453222308,33.4665055461483,148,Chevron USA Inc,Armstrong - Jordan State 12-2 CTB,6,53,39.75,33.4665,-103.632444,
-103.632453222308,33.4665055461483,149,Armstrong Energy Corporation,Armstrong - Jordan State 12-2 CTB,6,53,39.75,33.4665,-103.632444,
-103.641148221344,33.4236445386111,150,Chevron USA Inc,Shell State 1 Y,6,50.6,37.95,33.423639,-103.641139,
-103.9011982305,32.668597400188,151,Devon Energy Production Company LP,Devon Energy - Strawberry 7 Federal No4 Battery,6,71.7,53.775,32.668592,-103.901189,
-103.721909163249,32.2525243379988,152,Devon Energy Production Company LP,Devon Energy - Mesa Verde 6 Federal No10 Battery,6,94.3,70.725,32.252519,-103.7219,
-103.763840161256,32.063897304001,153,Devon Energy Production Company LP,Devon Energy - Snapping 10 Federal No1 Battery,6,28.45,21.3375,32.063892,-103.763831,
-103.763656168322,32.1801113238156,154,Devon Energy Production Company LP,Devon Energy - Cotton Draw Unit No114,6,51.66,38.745,32.180106,-103.763647,
-103.730725166241,32.2682943402861,155,Devon Energy Production Company LP,Devon - Todd 36 State 20 H,6,98.8,74.1,32.268289,-103.730716,
-103.900733230255,32.6664403998471,156,Devon Energy Production Company LP,Devon Energy - Sirius 17 Arcturus 18 Battery,6,93.2,69.9,32.666435,-103.900724,
-103.762515167296,32.1676613217467,157,Devon Energy Production Company LP,Devon - Cotton Draw Unit No. 115H,6,53.2,39.9,32.167656,-103.762506,
-103.987365226848,32.3013363343727,158,Devon Energy Production Company LP,Devon - Spud 16 No9H,6,75.7,56.775,32.301331,-103.987356,
-104.004112220551,32.1379583059626,159,Devon Energy Production Company LP,Devon Energy - Slider 8 Federal 4H,6,93.9,70.425,32.137953,-104.004103,
-103.951965214883,32.2385333253338,160,Devon Energy Production Company LP,Devon Energy - HB11-8,6,91.3,68.475,32.238528,-103.951956,
-103.796701184869,32.3253913470207,161,Devon Energy Production Company LP,Devon Energy - North Pure God 8 Federal No14H,6,94.8,71.1,32.325386,-103.796692,
-104.20620926966,32.1899613057517,162,Devon Energy Production Company LP,Devon Energy - Serano 29 Federal 1H,6,60.2,45.15,32.189956,-104.2062,
-103.77848717997,32.3135523458312,163,Devon Energy Production Company LP,Devon Energy - North Pure Gold 9 Fed No 18H,6,65.3,48.975,32.313547,-103.778478,
-103.817650215085,32.725310413579,164,Devon Energy Production Company LP,Devon Energy - Serene Sisters 25 Fed No 1H and 2H,6,95.6,71.7,32.725305,-103.817641,
-103.825700216055,32.711872410948,165,Devon Energy Production Company LP,Devon Energy - Serene Sisters 25 Fed No 3H and 4H,6,95.6,71.7,32.711867,-103.825691,
-104.038009272789,32.8391164223857,166,COG Operating LLC,COG Operating LLC - GJ West Coop Unit 210 Battery,6,23.6,17.7,32.839111,-104.038,
-104.078092280212,32.813116416173,167,COG Operating LLC,COG Operating LLC - GJ West Coop Unit South Battery,6,22,16.5,32.813111,-104.078083,
-104.073592280186,32.8283384189232,168,COG Operating LLC,COG Operating LLC - GJ West Coop Unit Central Battery,6,15.9,11.925,32.828333,-104.073583,
-103.846590190878,32.2388053300936,169,BOPCO L.P. - Midland Office,PLU Big Sinks 11 Federal No1H,6,75.5,56.625,32.2388,-103.846581,
-103.846590190878,32.2388053300936,170,Chevron Midcontinent LP,PLU Big Sinks 11 Federal No1H,6,75.5,56.625,32.2388,-103.846581,
-104.038009272789,32.8391164223857,171,COG Operating LLC,COG Operating LP - GJ West Coop Unit 191 Battery,6,26.1,19.575,32.839111,-104.038,
-104.073620227966,32.0004552795527,172,Chevron USA Inc, Skeen 34 State Com NO 1H,6,39.8,29.85,32.00045,-104.073611,
-103.993120262664,32.8406994247492,173,COG Operating LLC,COG Operating LLC - Caddo Federal Battery,6,25,18.75,32.840694,-103.993111,
-104.159628254075,32.1084242940518,174,Chevron USA Inc,Cooksey 26 Federal Com No 1H,6,33.1,24.825,32.108419,-104.159619,
-104.102042261531,32.4382163522648,175,XTO Energy Inc,XTO Energy - Big Eddy Facility Station No149,6,17.9,13.425,32.438211,-104.102033,
-104.111690266293,32.4787693586414,176,XTO Energy Inc,XTO Energy - Big Eddy Facility Station No150,6,19.8,14.85,32.478764,-104.111681,
-103.506842115744,32.2809223524524,177,Chevron USA Inc,Paloma 30 Federal No1,6,15.5,11.625,32.280917,-103.506833,
-103.57352012939,32.2543243449348,178,Devon Energy Production Company LP,Devon - Thistle Unit No 17H,6,64.3,48.225,32.254319,-103.573511,
-109.801927515083,32.7610881343394,179,COG Operating LLC,COG Operating - Electra Fed North Battery,6,21.5,16.125,32.761083,-109.801917,
-103.75523120703,32.8209224325391,180,COG Operating LLC,COG Operating - JC Federal Battery,6,33,24.75,32.820917,-103.755222,
-103.792120215824,32.826338431729,181,COG Operating LLC,COG Operating LLC - BC Federal Battery,6,23.8,17.85,32.826333,-103.792111,
-103.750870206028,32.8208664327329,182,COG Operating LLC,COG Operating - MC Federal Battery,6,29.8,22.35,32.820861,-103.750861,
-103.769148210578,32.8264774328232,183,COG Operating LLC,COG Operating - MC Federal 14 Battery,6,29.6,22.2,32.826472,-103.769139,
-103.969203256873,32.8355614250085,184,COG Operating LLC,COG Operating LLC - Mesilla State Battery,6,44.5,33.375,32.835556,-103.969194,
-103.856120230335,32.8245054284374,185,COG Operating LLC,COG Operating LLC - Skelly 942 Battery,6,30.8,23.1,32.8245,-103.856111,
-104.189009261739,32.124699295498,186,Chevron USA Inc, Hayhurst 16 State NO1,6,28.5,21.375,32.124694,-104.189,
-103.21667604699,32.2483383598125,187,ConocoPhillips - Midland Office,ConocoPhillips - Vaughan B-1 No 009,6,17.2,12.9,32.248333,-103.216667,
-104.070203266949,32.6365613870166,188,Devon Energy Production Company LP,Devon Energy - Turquoise 27-1H,6,73.47,55.1025,32.636556,-104.070194,
-104.104315286442,32.8171164156153,189,COG Operating LLC,COG Operating LLC - Mesquite State Battery,6,57.5,43.125,32.817111,-104.104306,
-104.070148267928,32.6519493895969,190,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,6,76.1,57.075,32.651944,-104.070139,
-104.10453727579,32.6525413881081,191,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,6,90.45,67.8375,32.652536,-104.104528,
-104.087315271838,32.6520053888136,192,Devon Energy Production Company LP,Devon Energy - Agate 21-1H,6,44.61,33.4575,32.652,-104.087306,
-103.805231218342,32.8189774298831,193,COG Operating LLC,COG Operating LLC - GC Federal Battery,6,20.6,15.45,32.818972,-103.805222,
-103.97814825773,32.8175054215723,194,COG Operating LLC,COG Operating - Houma State Battery,6,21.9,16.425,32.8175,-103.978139,
-108.120010494027,36.8027838063013,195,Hilcorp Energy Company,Hilcorp - San Juan CDP and San Juan Federal 01,6,46,34.5,36.802778,-108.12,
-108.120010494027,36.8027838063013,196,XTO Energy Inc,Hilcorp - San Juan CDP and San Juan Federal 01,6,46,34.5,36.802778,-108.12,
-103.965453256291,32.8397274258801,197,COG Operating LLC,COG Operating - Electra Federal No1 Battery,6,21.8,16.35,32.839722,-103.965444,
